permit_id,permit_number,permit_type,address,work_description,property_owner,lead_type,contractor_name,contractor_type,business_match,business_name,business_dba,business_account,business_address,business_city,business_state,business_zip,business_website,business_phone,business_email,contact_source,business_owner,owner_title,latitude,longitude
3452932,101085057,PERMIT - WRECKING/DEMOLITION,1822 N WOLCOTT AVE,WRECK AND REMOVE A SINGLE STORY MASONRY RESIDENTIAL BUILDING (REAR COACH HOUSE),STANLEY PLUTA,PROPERTY_OWNER,BUILDER LUXURY INC,CONTRACTOR-GENERAL CONTRACTOR,NO MATCH,,,,,,,,,,,,,,41.91489960074934,-87.67527459823876
3451110,101084202,PERMIT - WRECKING/DEMOLITION,1253 W FRY ST,WRECK AND REMOVE A 2 STORY MASONRY RESIDENCE AND A DETACHED MASONRY GARAGE,1257 FRY LLC,PROPERTY_OWNER,BUILDER LUXURY INC,CONTRACTOR-GENERAL CONTRACTOR,NO MATCH,,,,,,,,,,,,,,41.89702225998634,-87.65971011276098
3455796,B101086427,PERMIT - WRECKING/DEMOLITION,2524 E 106TH ST,EMERGENCY WRECK AND REMOVE A 1 STORY MASONRY RESIDENCE,CITY OF CHICAGO DEMO DEPT.,PROPERTY_OWNER,"MCDONAGH DEMOLITION, INC",GENERAL CONTRACTOR,MATCHED,MCDONAGH DEMOLITION INC.,McDonagh Demolition Inc,60384,7243 W TOUHY AVE 2ND,CHICAGO,IL,60631,https://www.visualvisitor.com/companies/1334814/mcdonagh_demolition_inc.,+1 773-628-7077,,https://www.visualvisitor.com/companies/1334814/mcdonagh_demolition_inc.,COLEMAN MCDONAGH; GERALDINE MCDONAGH,SECRETARY; PRESIDENT,41.70288386611969,-87.5620812236353
3453830,B101085516,PERMIT - WRECKING/DEMOLITION,1320 W 73RD ST,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CITY OF CHICAGO DEMO DEPT.,PROPERTY_OWNER,"MCDONAGH DEMOLITION, INC",GENERAL CONTRACTOR,MATCHED,MCDONAGH DEMOLITION INC.,MCDONAGH DEMOLITION INC,60384,605 N KEDZIE AVE,CHICAGO,IL,60612,https://www.cience.com/company/mcdonagh-demolition/-7680086248641929405,+1 555 123 4567,you@company.com,https://www.cience.com/company/mcdonagh-demolition/-7680086248641929405,COLEMAN MCDONAGH; GERALDINE MCDONAGH,SECRETARY; PRESIDENT,41.7614656848584,-87.65814817567905
3452934,101085059,PERMIT - WRECKING/DEMOLITION,2318 W ADDISON ST,WRECK AND REMOVE A TWO STORY MASONRY RESIDENCE AND DETACHED FRAME GARAGE,KASPER DEVELOPMENT,PROPERTY_OWNER,BUILDER LUXURY INC,CONTRACTOR-GENERAL CONTRACTOR,NO MATCH,,,,,,,,,,,,,,41.94686704095913,-87.68664913815685
3452930,101085055,PERMIT - WRECKING/DEMOLITION,1822 N WOLCOTT AVE,WRECK AND REMOVE A TWO STORY MASONRY RESIDENTAIL BUILDING (FRONT),STANLEY PLUTA,PROPERTY_OWNER,BUILDER LUXURY INC,CONTRACTOR-GENERAL CONTRACTOR,NO MATCH,,,,,,,,,,,,,,41.91489960074934,-87.67527459823876
3455794,B101086426,PERMIT - WRECKING/DEMOLITION,2939 E 97TH ST,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,CITY OF CHICAGO DEMO DEPT.,PROPERTY_OWNER,"MCDONAGH DEMOLITION, INC",GENERAL CONTRACTOR,MATCHED,MCDONAGH DEMOLITION INC.,McDonagh Demolition Inc,60384,7243 W TOUHY AVE 2ND,CHICAGO,IL,60631,https://www.visualvisitor.com/companies/1334814/mcdonagh_demolition_inc.,+1 773-628-7077,,https://www.visualvisitor.com/companies/1334814/mcdonagh_demolition_inc.,COLEMAN MCDONAGH; GERALDINE MCDONAGH,SECRETARY; PRESIDENT,41.71899046681925,-87.55225394773503
3452356,101084749,PERMIT - WRECKING/DEMOLITION,2117 W MELROSE ST,WRECK AND REMOVE A 3 STORY FRAME MULTI UNIT RESIDENCE AND A DETACHED FRAME GARAGE,ABI DEVELOPERS 6 INC,PROPERTY_OWNER,VIEWPOINT SERVICES INC DBA BROPHY EXCAVATION,CONTRACTOR-GENERAL CONTRACTOR,NO MATCH,,,,,,,,,,,,,,41.94033685328649,-87.68152353398693
3454932,B101086009,PERMIT - WRECKING/DEMOLITION,4206 W HENDERSON ST,COMPLEX DEMOLITION: WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND A DETACHED FRAME GARAGE,4206 W HENDERSON ST LLC,PROPERTY_OWNER,RECON EXCAVATING INC,GENERAL CONTRACTOR,NO MATCH,,,,,,,,,,,,,,41.94186557862378,-87.73247160386639
3453032,B101085093,PERMIT - WRECKING/DEMOLITION,4737 W NORTH AVE,EMERGENCY WRECK AND REMOVE A 2 STORY FRAME COACH HOUSE (REAR ONLY),CITY OF CHICAGO DEMO DEPT.,PROPERTY_OWNER,"MCDONAGH DEMOLITION, INC",GENERAL CONTRACTOR,MATCHED,MCDONAGH DEMOLITION INC.,McDonagh Demolition Inc,60384,7243 W TOUHY AVE 2ND,CHICAGO,IL,60631,https://www.visualvisitor.com/companies/1334814/mcdonagh_demolition_inc.,+1 773-628-7077,,https://www.visualvisitor.com/companies/1334814/mcdonagh_demolition_inc.,COLEMAN MCDONAGH; GERALDINE MCDONAGH,SECRETARY; PRESIDENT,41.909529057745836,-87.74508051049314
